car_name,year,mileage,fuel_type,seller_type,transmission_type,previous_owners,selling_price
sx4,2008,58000,Petrol,Dealer,Manual,0,1.95
dzire,2014,45780,Diesel,Dealer,Manual,0,5.5
omni,2012,50000,Petrol,Dealer,Manual,0,1.25
ciaz,2014,15000,Petrol,Dealer,Automatic,0,7.5
ritz,2013,64532,Petrol,Dealer,Manual,0,2.65
wagon r,2006,65000,Petrol,Dealer,Manual,0,1.05
ertiga,2015,25870,Petrol,Dealer,Manual,0,5.8
ciaz,2017,37000,Petrol,Dealer,Automatic,0,7.75
fortuner,2012,104707,Diesel,Dealer,Automatic,0,14.9
fortuner,2015,40000,Diesel,Dealer,Automatic,0,23
innova,,15000,Diesel,Dealer,Automatic,0,18
fortuner,2013,135000,Diesel,Individual,Automatic,0,16
innova,2005,90000,Petrol,Individual,Manual,0,2.75
corolla altis,2009,70000,Petrol,Dealer,Automatic,0,3.6
etios cross,2015,40534,Petrol,Dealer,Manual,0,4.5
corolla altis,2010,50000,Petrol,Dealer,Manual,0,4.75
etios g,2014,39485,Petrol,Dealer,Manual,1,4.1
fortuner,2014,41000,Diesel,Dealer,Automatic,0,19.99
corolla altis,2013,40001,Petrol,Dealer,Manual,0,6.95
etios cross,2015,40588,Petrol,Dealer,Manual,0,4.5
fortuner,2014,78000,Diesel,Dealer,Automatic,0,18.75
fortuner,2015,47000,Diesel,Dealer,Automatic,0,23.5
fortuner,2017,6000,Diesel,Dealer,Automatic,0,33
etios liva,2014,45000,Diesel,Dealer,Manual,0,4.75
innova,2017,11000,Petrol,Dealer,Automatic,0,19.75
fortuner,2010,59000,Diesel,Dealer,Manual,0,9.25
corolla altis,2011,88000,Petrol,Dealer,Manual,0,4.35
corolla altis,2016,12000,Petrol,Dealer,Manual,0,14.25
etios liva,2014,71000,Diesel,Dealer,Manual,0,3.95
corolla altis,2011,45000,Diesel,Dealer,Manual,0,4.5
corolla altis,2013,56001,Petrol,Dealer,Manual,0,7.45
etios liva,2011,43000,Petrol,Dealer,Manual,0,2.65
etios cross,2014,83000,Diesel,Dealer,Manual,0,4.9
etios g,2015,36000,Petrol,Dealer,Manual,0,3.95
corolla altis,2013,72000,Petrol,Dealer,Manual,0,5.5
corolla,2004,135154,Petrol,Dealer,Automatic,0,1.5
corolla altis,2010,80000,Petrol,Dealer,Automatic,0,5.25
fortuner,2012,89000,Diesel,Dealer,Automatic,0,14.5
corolla altis,2016,23000,Diesel,Dealer,Manual,0,14.73
etios gd,2015,40000,Diesel,Dealer,Manual,0,4.75
innova,2017,15000,Diesel,Dealer,Automatic,0,23
innova,2015,38000,Diesel,Dealer,Manual,0,12.5
innova,2005,197176,Diesel,Dealer,Manual,0,3.49
camry,2006,142000,Petrol,Individual,Automatic,3,2.5
land cruiser,2010,78000,Diesel,Dealer,Manual,0,35
corolla altis,2012,56000,Petrol,Dealer,Manual,0,5.9
etios liva,2013,47000,Petrol,Dealer,Manual,0,3.45
etios g,2014,40000,Petrol,Dealer,Manual,0,4.75
corolla altis,2009,62000,Petrol,Dealer,Manual,0,3.8
innova,2014,58242,Diesel,Dealer,Manual,0,11.25
innova,2005,75000,Petrol,Dealer,Manual,0,3.51
fortuner,2015,40000,Diesel,Dealer,Automatic,0,23
corolla altis,2008,89000,Petrol,Dealer,Automatic,0,4
corolla altis,2012,72000,Petrol,Dealer,Manual,0,5.85
innova,2016,29000,Diesel,Dealer,Automatic,0,20.75
corolla altis,2017,8700,Petrol,Dealer,Manual,0,17
corolla altis,2013,45000,Petrol,Dealer,Manual,0,7.05
fortuner,2010,50024,Diesel,Dealer,Manual,0,9.65
Royal Enfield Thunder 500,2016,3000,Petrol,Individual,Manual,0,1.75
UM Renegade Mojave,2017,1400,Petrol,Individual,Manual,0,1.7
KTM RC200,2017,4000,Petrol,Individual,Manual,0,1.65
Bajaj Dominar 400,2017,1200,Petrol,Individual,Manual,0,1.45
Royal Enfield Classic 350,2017,4100,Petrol,Individual,Manual,0,1.35
KTM RC390,2015,21700,Petrol,Individual,Manual,0,1.35
Hyosung GT250R,2014,16500,Petrol,Individual,Manual,1,1.35
Royal Enfield Thunder 350,2013,15000,Petrol,Individual,Manual,0,1.25
Royal Enfield Thunder 350,2016,18000,Petrol,Individual,Manual,0,1.2
Royal Enfield Classic 350,2017,11000,Petrol,Individual,Manual,0,1.2
KTM RC200,,6000,Petrol,Individual,Manual,0,1.2
Royal Enfield Thunder 350,2016,8700,Petrol,Individual,Manual,0,1.15
KTM 390 Duke ,2014,7000,Petrol,Individual,Manual,0,1.15
Mahindra Mojo XT300,2016,35000,Petrol,Individual,Manual,0,1.15
Royal Enfield Classic 350,2015,17000,Petrol,Individual,Manual,0,1.15
Royal Enfield Classic 350,2015,17500,Petrol,Individual,Manual,0,1.11
Royal Enfield Classic 350,2013,33000,Petrol,Individual,Manual,0,1.1
Royal Enfield Thunder 500,2015,14000,Petrol,Individual,Manual,0,1.1
Royal Enfield Classic 350,2015,26000,Petrol,Individual,Manual,0,1.1
Royal Enfield Thunder 500,2013,5400,Petrol,Individual,Manual,0,1.05
Bajaj Pulsar RS200,2016,5700,Petrol,Individual,Manual,0,1.05
Royal Enfield Thunder 350,2011,6900,Petrol,Individual,Manual,0,1.05
Royal Enfield Bullet 350,2016,6000,Petrol,Individual,Manual,0,1.05
Royal Enfield Classic 350,2013,46500,Petrol,Individual,Manual,0,1
Royal Enfield Classic 500,2012,11500,Petrol,Individual,Manual,0,0.95
Royal Enfield Classic 500,2009,40000,Petrol,Individual,Manual,0,0.9
Bajaj Avenger 220,2017,1300,Petrol,Individual,Manual,0,0.9
Bajaj Avenger 150,2016,7000,Petrol,Individual,Manual,0,0.75
Honda CB Hornet 160R,2017,3000,Petrol,Individual,Manual,0,0.8
Yamaha FZ S V 2.0,2017,5000,Petrol,Individual,Manual,0,0.78
Honda CB Hornet 160R,2017,11000,Petrol,Individual,Manual,0,0.75
Yamaha FZ 16,2015,18000,Petrol,Individual,Manual,0,0.75
Bajaj Avenger 220,2017,3500,Petrol,Individual,Manual,0,0.75
Bajaj Avenger 220,2016,500,Petrol,Individual,Manual,0,0.72
TVS Apache RTR 160,2017,11800,Petrol,Individual,Manual,0,0.65
Bajaj Pulsar 150,2015,5000,Petrol,Individual,Manual,0,0.65
Honda CBR 150,2014,23500,Petrol,Individual,Manual,0,0.65
Hero Extreme,2013,16000,Petrol,Individual,Manual,0,0.65
Honda CB Hornet 160R,2016,15000,Petrol,Individual,Manual,0,0.6
Bajaj Avenger 220 dtsi,2015,16600,Petrol,Individual,Manual,0,0.6
Honda CBR 150,2013,32000,Petrol,Individual,Manual,0,0.6
Bajaj Avenger 150 street,2016,20000,Petrol,Individual,Manual,0,0.6
Yamaha FZ  v 2.0,2015,29000,Petrol,Individual,Manual,0,0.6
Yamaha FZ  v 2.0,2016,25000,Petrol,Individual,Manual,0,0.6
Bajaj Pulsar  NS 200,2014,25000,Petrol,Individual,Manual,0,0.6
TVS Apache RTR 160,2012,19000,Petrol,Individual,Manual,0,0.6
Hero Extreme,2014,15000,Petrol,Individual,Manual,0,0.55
Yamaha FZ S V 2.0,2015,58000,Petrol,Individual,Manual,0,0.55
Bajaj Pulsar 220 F,2010,45000,Petrol,Individual,Manual,0,0.52
Bajaj Pulsar 220 F,2016,24000,Petrol,Individual,Manual,0,0.51
TVS Apache RTR 180,2011,6000,Petrol,Individual,Manual,0,0.5
Hero Passion X pro,2016,31000,Petrol,Individual,Manual,0,0.5
Bajaj Pulsar NS 200,2012,13000,Petrol,Individual,Manual,0,0.5
Bajaj Pulsar NS 200,2013,45000,Petrol,Individual,Manual,0,0.5
Yamaha Fazer ,2014,8000,Petrol,Individual,Manual,0,0.5
Honda Activa 4G,2017,4300,Petrol,Individual,Automatic,0,0.48
TVS Sport ,2017,15000,Petrol,Individual,Manual,0,0.48
Yamaha FZ S V 2.0,2015,23000,Petrol,Individual,Manual,0,0.48
Honda Dream Yuga ,2017,8600,Petrol,Individual,Manual,0,0.48
Honda Activa 4G,2017,4000,Petrol,Individual,Automatic,0,0.45
Bajaj Avenger Street 220,2011,24000,Petrol,Individual,Manual,0,0.45
TVS Apache RTR 180,2014,23000,Petrol,Individual,Manual,0,0.45
Bajaj Pulsar NS 200,2012,14500,Petrol,Individual,Manual,0,0.45
Bajaj Avenger 220 dtsi,2010,27000,Petrol,Individual,Manual,0,0.45
Hero Splender iSmart,2016,14000,Petrol,Individual,Manual,0,0.45
Activa 3g,2016,500,Petrol,Individual,Automatic,0,0.45
Hero Passion Pro,2016,1000,Petrol,Individual,Manual,0,0.45
TVS Apache RTR 160,2014,42000,Petrol,Individual,Manual,0,0.42
Honda CB Trigger,2013,12000,Petrol,Individual,Manual,0,0.42
Hero Splender iSmart,2015,14000,Petrol,Individual,Manual,0,0.4
Yamaha FZ S ,2012,5500,Petrol,Individual,Manual,0,0.4
Hero Passion Pro,2015,6700,Petrol,Individual,Manual,0,0.4
Bajaj Pulsar 135 LS,2014,13700,Petrol,Individual,Manual,0,0.4
Activa 4g,2017,1300,Petrol,Individual,Automatic,0,0.4
Honda CB Unicorn,2015,38600,Petrol,Individual,Manual,0,0.38
Hero Honda CBZ extreme,2011,75000,Petrol,Individual,Manual,0,0.38
Honda Karizma,2011,30000,Petrol,Individual,Manual,0,0.35
Honda Activa 125,2016,24000,Petrol,Individual,Automatic,0,0.35
TVS Jupyter,2014,19000,Petrol,Individual,Automatic,0,0.35
Honda Karizma,2010,213000,Petrol,Individual,Manual,0,0.31
Hero Honda Passion Pro,2012,60000,Petrol,Individual,Manual,0,0.3
Hero Splender Plus,2016,50000,Petrol,Individual,Manual,0,0.3
Honda CB Shine,2013,30000,Petrol,Individual,Manual,0,0.3
Bajaj Discover 100,2013,21000,Petrol,Individual,Manual,0,0.27
Bajaj Pulsar 150,2008,26000,Petrol,Individual,Manual,1,0.25
Suzuki Access 125,2008,1900,Petrol,Individual,Automatic,0,0.25
TVS Wego,2010,22000,Petrol,Individual,Automatic,0,0.25
Honda CB twister,2013,32000,Petrol,Individual,Manual,0,0.25
Hero Glamour,2013,18000,Petrol,Individual,Manual,0,0.25
Hero Super Splendor,2005,55000,Petrol,Individual,Manual,0,0.2
Bajaj Pulsar 150,2008,60000,Petrol,Individual,Manual,0,0.2
Bajaj Discover 125,2012,25000,Petrol,Individual,Manual,1,0.2
Hero Hunk,2007,49000,Petrol,Individual,Manual,1,0.2
Hero  Ignitor Disc,2013,24000,Petrol,Individual,Manual,1,0.2
Hero  CBZ Xtreme,2008,50000,Petrol,Individual,Manual,0,0.2
Bajaj  ct 100,2015,35000,Petrol,Individual,Manual,0,0.18
Activa 3g,2008,500000,Petrol,Individual,Automatic,0,0.17
Honda CB twister,2010,33000,Petrol,Individual,Manual,0,0.16
Bajaj Discover 125,2011,35000,Petrol,Individual,Manual,1,0.15
Honda CB Shine,2007,53000,Petrol,Individual,Manual,0,0.12
Bajaj Pulsar 150,2006,92233,Petrol,Individual,Manual,0,0.1
,2010,58000,Diesel,Dealer,Manual,1,3.25
grand i10,2015,28200,Petrol,Dealer,Manual,0,4.4
i10,2011,53460,Petrol,Dealer,Manual,0,2.95
eon,2015,28282,Petrol,Dealer,Manual,0,2.75
grand i10,2016,3493,Petrol,Dealer,Manual,1,5.25
xcent,2017,12479,Petrol,Dealer,Manual,0,5.75
grand i10,2015,34797,Petrol,Dealer,Automatic,0,5.15
i20,2017,3435,Petrol,Dealer,Manual,0,7.9
grand i10,2015,21125,Diesel,Dealer,Manual,0,4.85
i10,2012,35775,Petrol,Dealer,Manual,0,3.1
elantra,2015,43535,Diesel,Dealer,Manual,0,11.75
creta,2016,22671,Petrol,Dealer,Manual,0,11.25
i20,2011,31604,Petrol,Dealer,Manual,0,2.9
grand i10,2017,20114,Petrol,Dealer,Manual,0,5.25
verna,2012,36100,Petrol,Dealer,Manual,0,4.5
eon,2016,12500,Petrol,Dealer,Manual,0,2.9
eon,2016,15000,Petrol,Dealer,Manual,0,3.15
verna,2014,45078,Petrol,Dealer,Manual,0,6.45
verna,2012,36000,Petrol,Dealer,Manual,0,4.5
eon,2017,38488,Petrol,Dealer,Manual,0,3.5
i20,2013,32000,Petrol,Dealer,Automatic,0,4.5
i20,2014,77632,Diesel,Dealer,Manual,0,6
verna,2015,61381,Diesel,Dealer,Manual,0,8.25
verna,2013,36198,Petrol,Dealer,Automatic,0,5.11
i10,2011,22517,Petrol,Dealer,Manual,0,2.7
grand i10,2015,24678,Petrol,Dealer,Manual,0,5.25
i10,2011,57000,Petrol,Dealer,Manual,0,2.55
verna,2012,60000,Diesel,Dealer,Manual,0,4.95
i20,2012,52132,Diesel,Dealer,Manual,0,3.1
verna,2013,45000,Diesel,Dealer,Manual,0,6.15
verna,2017,15001,Petrol,Dealer,Manual,0,9.25
elantra,2015,12900,Petrol,Dealer,Automatic,0,11.45
grand i10,2013,53000,Diesel,Dealer,Manual,0,3.9
grand i10,2015,4492,Petrol,Dealer,Manual,0,5.5
verna,2017,15141,Petrol,Dealer,Manual,0,9.1
eon,2016,11849,Petrol,Dealer,Manual,0,3.1
creta,2015,68000,Diesel,Dealer,Manual,0,11.25
verna,2013,60241,Petrol,Dealer,Manual,0,4.8
eon,2012,23709,Petrol,Dealer,Manual,0,2
verna,2012,32322,Diesel,Dealer,Manual,0,5.35
xcent,2015,35866,Petrol,Dealer,Manual,1,4.75
xcent,2014,34000,Petrol,Dealer,Manual,0,4.4
i20,2016,7000,Petrol,Dealer,Manual,0,6.25
verna,2013,49000,Diesel,Dealer,Manual,0,5.95
verna,2012,71000,Diesel,Dealer,Manual,0,5.2
i20,2012,35000,Petrol,Dealer,Manual,0,3.75
verna,2015,36000,Petrol,Dealer,Manual,0,5.95
i10,2013,30000,Petrol,Dealer,Manual,0,4
i20,2016,17000,Petrol,Dealer,Manual,0,5.25
creta,2016,35934,Diesel,Dealer,Manual,0,12.9
city,2013,56701,Petrol,Dealer,Manual,0,5
brio,2015,31427,Petrol,Dealer,Automatic,0,5.4
city,2014,48000,Diesel,Dealer,Manual,0,7.2
city,2013,54242,Petrol,Dealer,Manual,0,5.25
brio,2012,53675,Petrol,Dealer,Manual,0,3
city,2016,49562,Petrol,Dealer,Manual,0,
city,2015,40324,Petrol,Dealer,Manual,0,8.5
city,2015,25000,Petrol,Dealer,Manual,0,8.4
amaze,2014,36054,Petrol,Dealer,Manual,0,3.9
city,2016,29223,Petrol,Dealer,Manual,0,9.15
brio,2016,5600,Petrol,Dealer,Manual,0,5.5
amaze,2015,40023,Petrol,Dealer,Manual,0,4
jazz,2016,16002,Petrol,Dealer,Manual,0,6.6
amaze,2015,40026,Petrol,Dealer,Manual,0,4
jazz,2017,21200,Petrol,Dealer,Manual,0,6.5
amaze,2014,35000,Petrol,Dealer,Manual,0,3.65
city,2016,19434,Diesel,Dealer,Manual,0,8.35
brio,2017,19000,Petrol,Dealer,Manual,0,4.8
city,2015,18828,Petrol,Dealer,Manual,0,6.7
city,2011,69341,Petrol,Dealer,Manual,0,4.1
city,2009,69562,Petrol,Dealer,Manual,0,3
city,2015,27600,Petrol,Dealer,Manual,0,7.5
jazz,2010,61203,Petrol,Dealer,Manual,0,2.25
brio,2014,16500,Petrol,Dealer,Manual,0,5.3
city,2016,30753,Petrol,Dealer,Automatic,0,10.9
city,2015,24800,Petrol,Dealer,Manual,0,8.65
city,2015,21780,Petrol,Dealer,Manual,0,9.7
jazz,2016,4000,Petrol,Dealer,Manual,0,6
city,2014,40126,Petrol,Dealer,Manual,0,6.25
brio,2015,14465,Petrol,Dealer,Manual,0,5.25
city,2006,50456,Petrol,Dealer,Manual,0,2.1
city,2014,63000,Diesel,Dealer,Manual,0,8.25
city,2016,9010,Petrol,Dealer,Manual,0,8.99
brio,2013,9800,Petrol,Dealer,Manual,0,3.5
jazz,2016,15059,Petrol,Dealer,Automatic,0,7.4
jazz,2016,28569,Petrol,Dealer,Manual,0,5.65
amaze,2015,44000,Petrol,Dealer,Automatic,0,5.75
city,2015,34000,Petrol,Dealer,Manual,0,8.4
city,2016,10980,Petrol,Dealer,Manual,0,10.11
amaze,2014,19000,Petrol,Dealer,Manual,0,4.5
brio,2015,31427,Petrol,Dealer,Manual,0,5.4
jazz,2016,12000,Petrol,Dealer,Manual,0,6.4
city,2010,38000,Petrol,Dealer,Manual,0,3.25
amaze,2014,33019,Petrol,Dealer,Manual,0,3.75
city,2015,60076,Diesel,Dealer,Manual,0,8.55
city,2016,33988,Diesel,Dealer,Manual,0,9.5
brio,2015,60000,Petrol,Dealer,Manual,0,4
city,2009,87934,Petrol,Dealer,Manual,0,3.35
city,2017,9000,Diesel,Dealer,Manual,0,11.5
brio,2016,5464,Petrol,Dealer,Manual,0,5.3
